,title,publication_info,cited_by
185,Are formal methods applicable to machine learning and artificial intelligence?,"M Krichen, A Mihoub, MY Alzahrani… - … Conference of Smart …, 2022 - ieeexplore.ieee.org",Cited by 104
186,Generalization in quantum machine learning from few training data,"MC Caro, HY Huang, M Cerezo, K Sharma… - Nature …, 2022 - nature.com",Cited by 331
187,Mitigating the multicollinearity problem and its machine learning approach: a review,"JYL Chan, SMH Leow, KT Bea, WK Cheng… - Mathematics, 2022 - mdpi.com",Cited by 228
188,[HTML][HTML] Artificial intelligence and machine learning in drug discovery and development,"V Patel, M Shah - Intelligent Medicine, 2022 - Elsevier",Cited by 126
189,Cybersecurity threats and their mitigation approaches using Machine Learning—A Review,"M Ahsan, KE Nygard, R Gomes… - … of Cybersecurity and …, 2022 - mdpi.com",Cited by 118
190,Machine learning-driven credit risk: a systemic review,"S Shi, R Tse, W Luo, S D'Addona, G Pau - Neural Computing and …, 2022 - Springer",Cited by 91
191,"[HTML][HTML] Significance of machine learning in healthcare: Features, pillars and applications","M Javaid, A Haleem, RP Singh, R Suman… - International Journal of …, 2022 - Elsevier",Cited by 393
192,Fusion of finite element and machine learning methods to predict rock shear strength parameters,"D Zhu, B Yu, D Wang, Y Zhang - Journal of Geophysics and …, 2024 - academic.oup.com",Cited by 49
193,Integrating AI and Machine Learning in Quality Assurance for Automation Engineering,"PR Kothamali, VK Karne… - International Journal for …, 2024 - jrps.shodhsagar.com",Cited by 36
194,Chatgpt or human? detect and explain. explaining decisions of machine learning model for detecting short chatgpt-generated text,"S Mitrović, D Andreoletti, O Ayoub - arXiv preprint arXiv:2301.13852, 2023 - arxiv.org",Cited by 150
195,Heart diseases prediction using machine learning,"AL Yadav, K Soni, S Khare - 2023 14th International …, 2023 - ieeexplore.ieee.org",Cited by 228
196,Understanding APT detection using Machine learning algorithms: Is superior accuracy a thing?,"S Arefin, M Chowdhury, R Parvez… - 2024 IEEE …, 2024 - ieeexplore.ieee.org",Cited by 31
197,A comparative analysis of machine learning algorithms for classification purpose,"V Sheth, U Tripathi, A Sharma - Procedia Computer Science, 2022 - Elsevier",Cited by 48
198,"An overview of machine learning, deep learning, and reinforcement learning-based techniques in quantitative finance: recent progress and challenges","SK Sahu, A Mokhade, ND Bokde - Applied Sciences, 2023 - mdpi.com",Cited by 76
199,Fusion-based supply chain collaboration using machine learning techniques,"TM Ghazal, HM Alzoubi - … & Soft Computing, 2022 - research.skylineuniversity.ac.ae",Cited by 256
200,Artificial intelligence and machine learning in cancer imaging,"DM Koh, N Papanikolaou, U Bick, R Illing… - Communications …, 2022 - nature.com",Cited by 152
201,Machine learning applications for COVID-19 outbreak management,"A Heidari, N Jafari Navimipour, M Unal… - Neural Computing and …, 2022 - Springer",Cited by 95
202,Torchdrug: A powerful and flexible machine learning platform for drug discovery,"Z Zhu, C Shi, Z Zhang, S Liu, M Xu, X Yuan… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 74
203,Machine learning and landslide studies: recent advances and applications,"FS Tehrani, M Calvello, Z Liu, L Zhang, S Lacasse - Natural Hazards, 2022 - Springer",Cited by 125
204,[HTML][HTML] Machine learning and remote sensing integration for leveraging urban sustainability: A review and framework,"F Li, T Yigitcanlar, M Nepal, K Nguyen, F Dur - Sustainable Cities and …, 2023 - Elsevier",Cited by 62
205,A comparative study of machine learning algorithms for detecting breast cancer,"RH Khan, J Miah, MM Rahman… - 2023 IEEE 13th Annual …, 2023 - ieeexplore.ieee.org",Cited by 38
206,A survey of privacy attacks in machine learning,"M Rigaki, S Garcia - ACM Computing Surveys, 2023 - dl.acm.org",Cited by 267
207,Water quality assessment through predictive machine learning,"H Ghosh, MA Tusher, IS Rahat, S Khasim… - … on Intelligent Computing …, 2023 - Springer",Cited by 62
208,Revolutionizing drug formulation development: the increasing impact of machine learning,"Z Bao, J Bufton, RJ Hickman, A Aspuru-Guzik… - Advanced Drug Delivery …, 2023 - Elsevier",Cited by 22
209,"Mental health prediction using machine learning: taxonomy, applications, and challenges","J Chung, J Teo - Applied Computational Intelligence and Soft …, 2022 - Wiley Online Library",Cited by 111
210,"A robust, agnostic molecular biosignature based on machine learning","HJ Cleaves, G Hystad, A Prabhu… - Proceedings of the …, 2023 - National Acad Sciences",Cited by 13
211,Machine learning and deep learning based predictive quality in manufacturing: a systematic review,"H Tercan, T Meisen - Journal of Intelligent Manufacturing, 2022 - Springer",Cited by 163
212,Towards applicability of machine learning techniques in agriculture and energy sector,"K Arumugam, Y Swathi, DT Sanchez, M Mustafa… - Materials Today …, 2022 - Elsevier",Cited by 42
213,Applied machine learning as a driver for polymeric biomaterials design,"SM McDonald, EK Augustine, Q Lanners… - Nature …, 2023 - nature.com",Cited by 33
214,A survey of machine learning approaches in animal behaviour,"N Kleanthous, AJ Hussain, W Khan, J Sneddon… - Neurocomputing, 2022 - Elsevier",Cited by 40
215,Recent advances and application of machine learning in food flavor prediction and regulation,"H Ji, D Pu, W Yan, Q Zhang, M Zuo, Y Zhang - Trends in Food Science & …, 2023 - Elsevier",Cited by 49
216,A dependable hybrid machine learning model for network intrusion detection,"MA Talukder, KF Hasan, MM Islam, MA Uddin… - Journal of Information …, 2023 - Elsevier",Cited by 135
217,A comprehensive survey on poisoning attacks and countermeasures in machine learning,"Z Tian, L Cui, J Liang, S Yu - ACM Computing Surveys, 2022 - dl.acm.org",Cited by 161
218,A review of feature selection methods for machine learning-based disease risk prediction,"N Pudjihartono, T Fadason, AW Kempa-Liehr… - Frontiers in …, 2022 - frontiersin.org",Cited by 349
219,An introduction to machine learning for classification and prediction,"JE Black, JK Kueper, TS Williamson - Family practice, 2023 - academic.oup.com",Cited by 34
220,"[HTML][HTML] A comparative analysis of K-nearest neighbor, genetic, support vector machine, decision tree, and long short term memory algorithms in machine learning","M Bansal, A Goyal, A Choudhary - Decision Analytics Journal, 2022 - Elsevier",Cited by 354
221,Data drift in medical machine learning: implications and potential remedies,"B Sahiner, W Chen, RK Samala… - The British Journal of …, 2023 - academic.oup.com",Cited by 51
222,[HTML][HTML] Systematic literature review: Quantum machine learning and its applications,"D Peral-García, J Cruz-Benito… - Computer Science …, 2024 - Elsevier",Cited by 93
223,Modeling organizational performance with machine learning,"J Pap, C Mako, M Illessy, N Kis, A Mosavi - Journal of Open Innovation …, 2022 - mdpi.com",Cited by 46
224,Machine learning in aerodynamic shape optimization,"J Li, X Du, JRRA Martins - Progress in Aerospace Sciences, 2022 - Elsevier",Cited by 172
225,Machine learning for drilling applications: A review,"R Zhong, C Salehi, R Johnson Jr - Journal of Natural Gas Science and …, 2022 - Elsevier",Cited by 45
226,Interpretable machine learning for knowledge generation in heterogeneous catalysis,"JA Esterhuizen, BR Goldsmith, S Linic - Nature catalysis, 2022 - nature.com",Cited by 184
227,Comparative analysis for slope stability by using machine learning methods,"YA Nanehkaran, Z Licai, J Chengyong, J Chen… - Applied Sciences, 2023 - mdpi.com",Cited by 48
228,A digital game based learning approach for effective curriculum transaction for teaching-learning of artificial intelligence and machine learning,"A Alam - … Conference on Sustainable Computing and Data …, 2022 - ieeexplore.ieee.org",Cited by 451
229,The role of machine learning techniques in internet of things-based cloud applications,"S Mishra, AK Tyagi - Artificial intelligence-based internet of things systems, 2022 - Springer",Cited by 228
230,Interpretable and explainable machine learning for materials science and chemistry,"F Oviedo, JL Ferres, T Buonassisi… - Accounts of Materials …, 2022 - ACS Publications",Cited by 122
231,A Review on Sustainable Energy Sources Using Machine Learning and Deep Learning Models,"A Bhansali, N Narasimhulu, R Pérez de Prado… - Energies, 2023 - mdpi.com",Cited by 30
232,"Machine learning for high-entropy alloys: Progress, challenges and opportunities","X Liu, J Zhang, Z Pei - Progress in Materials Science, 2023 - Elsevier",Cited by 132
233,How machine learning is solving the binary function similarity problem,"A Marcelli, M Graziano, X Ugarte-Pedrero… - 31st USENIX Security …, 2022 - usenix.org",Cited by 88
234,[HTML][HTML] Democratizing artificial intelligence: How no-code AI can leverage machine learning operations,"L Sundberg, J Holmström - Business Horizons, 2023 - Elsevier",Cited by 60
235,Quantum machine learning: from physics to software engineering,"A Melnikov, M Kordzanganeh, A Alodjants… - Advances in Physics …, 2023 - Taylor & Francis",Cited by 68
236,Application of machine learning in anaerobic digestion: Perspectives and challenges,"IA Cruz, W Chuenchart, F Long, KC Surendra… - Bioresource …, 2022 - Elsevier",Cited by 151
237,A model for predicting cervical cancer using machine learning algorithms,"N Al Mudawi, A Alazeb - Sensors, 2022 - mdpi.com",Cited by 73
238,Algorithmic fairness and bias mitigation for clinical machine learning with deep reinforcement learning,"J Yang, AAS Soltan, DW Eyre, DA Clifton - Nature Machine Intelligence, 2023 - nature.com",Cited by 38
239,[HTML][HTML] Unsupervised machine learning in urban studies: A systematic review of applications,"J Wang, F Biljecki - Cities, 2022 - Elsevier",Cited by 103
240,Application of machine learning to the monitoring and prediction of food safety: A review,"X Wang, Y Bouzembrak, AO Lansink… - … Reviews in Food …, 2022 - Wiley Online Library",Cited by 92
241,Machine learning for multi-omics data integration in cancer,"Z Cai, RC Poulos, J Liu, Q Zhong - Iscience, 2022 - cell.com",Cited by 116
242,Machine learning and artificial intelligence in pharmaceutical research and development: a review,"S Kolluri, J Lin, R Liu, Y Zhang, W Zhang - The AAPS journal, 2022 - Springer",Cited by 160
243,Organic reaction mechanism classification using machine learning,"J Burés, I Larrosa - Nature, 2023 - nature.com",Cited by 62
244,Reviewing machine learning of corrosion prediction in a data-oriented perspective,"LB Coelho, D Zhang, Y Van Ingelgem… - npj Materials …, 2022 - nature.com",Cited by 104
245,A survey of machine learning in additive manufacturing technologies,"J Jiang - International Journal of Computer Integrated …, 2023 - Taylor & Francis",Cited by 39
246,Autoencoders and their applications in machine learning: a survey,"K Berahmand, F Daneshfar, ES Salehi, Y Li… - Artificial Intelligence …, 2024 - Springer",Cited by 54
247,Building energy consumption prediction for residential buildings using deep learning and other machine learning techniques,"R Olu-Ajayi, H Alaka, I Sulaimon, F Sunmola… - Journal of Building …, 2022 - Elsevier",Cited by 323
248,Scientific machine learning through physics–informed neural networks: Where we are and what's next,"S Cuomo, VS Di Cola, F Giampaolo, G Rozza… - Journal of Scientific …, 2022 - Springer",Cited by 1137
249,Machine learning for hydrothermal treatment of biomass: A review,"W Zhang, Q Chen, J Chen, D Xu, H Zhan, H Peng… - Bioresource …, 2023 - Elsevier",Cited by 64
250,Machine learning advances for time series forecasting,"RP Masini, MC Medeiros… - Journal of economic …, 2023 - Wiley Online Library",Cited by 306
251,A review of machine learning in processing remote sensing data for mineral exploration,"H Shirmard, E Farahbakhsh, RD Müller… - Remote Sensing of …, 2022 - Elsevier",Cited by 209
252,"Application of machine learning in thermal comfort studies: A review of methods, performance and challenges","ZQ Fard, ZS Zomorodian, SS Korsavi - Energy and Buildings, 2022 - Elsevier",Cited by 126
253,In-processing modeling techniques for machine learning fairness: A survey,"M Wan, D Zha, N Liu, N Zou - ACM Transactions on Knowledge …, 2023 - dl.acm.org",Cited by 110
254,"A review on machine learning, artificial intelligence, and smart technology in water treatment and monitoring","M Lowe, R Qin, X Mao - Water, 2022 - mdpi.com",Cited by 160
255,Supervised machine learning: algorithms and applications,"SH Shetty, S Shetty, C Singh… - … and methods of machine …, 2022 - Wiley Online Library",Cited by 56
