,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
182,[HTML][HTML] An innovative machine learning model for supply chain management,"H Lin, J Lin, F Wang ",2022 ,Journal of Innovation & Knowledge,Elsevier, 74,25.0
183,"Machine learning in modelling land-use and land cover-change (LULCC): Current status, challenges and prospects","J Wang, M Bretz, MAA Dewan, MA Delavar ",2022 ,Science of The Total …,Elsevier, 181,60.0
184,"Material machine learning for alloys: Applications, challenges and perspectives","X Liu, P Xu, J Zhao, W Lu, M Li, G Wang ",2022 ,Journal of Alloys and Compounds,Elsevier, 76,25.0
185,Are formal methods applicable to machine learning and artificial intelligence?,"M Krichen, A Mihoub, MY Alzahrani… ",2022 ,… Conference of Smart …,ieeexplore.ieee.org, 104,35.0
186,Generalization in quantum machine learning from few training data,"MC Caro, HY Huang, M Cerezo, K Sharma… ",2022 ,Nature …,nature.com, 331,110.0
187,Mitigating the multicollinearity problem and its machine learning approach: a review,"JYL Chan, SMH Leow, KT Bea, WK Cheng… ",2022 ,Mathematics,mdpi.com, 228,76.0
188,[HTML][HTML] Artificial intelligence and machine learning in drug discovery and development,"V Patel, M Shah ",2022 ,Intelligent Medicine,Elsevier, 126,42.0
189,Cybersecurity threats and their mitigation approaches using Machine Learning—A Review,"M Ahsan, KE Nygard, R Gomes… ",2022 ,… of Cybersecurity and …,mdpi.com, 118,39.0
190,Machine learning-driven credit risk: a systemic review,"S Shi, R Tse, W Luo, S D'Addona, G Pau ",2022 ,Neural Computing and …,Springer, 91,30.0
191,"[HTML][HTML] Significance of machine learning in healthcare: Features, pillars and applications","M Javaid, A Haleem, RP Singh, R Suman… ",2022 ,International Journal of …,Elsevier, 393,131.0
192,Fusion of finite element and machine learning methods to predict rock shear strength parameters,"D Zhu, B Yu, D Wang, Y Zhang ",2024 ,Journal of Geophysics and …,academic.oup.com, 49,49.0
193,Integrating AI and Machine Learning in Quality Assurance for Automation Engineering,"PR Kothamali, VK Karne… ",2024 ,International Journal for …,jrps.shodhsagar.com, 36,36.0
194,Chatgpt or human? detect and explain. explaining decisions of machine learning model for detecting short chatgpt-generated text,"S Mitrović, D Andreoletti, O Ayoub ",2023 ,arXiv preprint arXiv:2301.13852,arxiv.org, 150,75.0
195,Heart diseases prediction using machine learning,"AL Yadav, K Soni, S Khare ",2023 ,2023 14th International …,ieeexplore.ieee.org, 228,114.0
196,Understanding APT detection using Machine learning algorithms: Is superior accuracy a thing?,"S Arefin, M Chowdhury, R Parvez… ",2024 ,2024 IEEE …,ieeexplore.ieee.org, 31,31.0
197,A comparative analysis of machine learning algorithms for classification purpose,"V Sheth, U Tripathi, A Sharma ",2022 ,Procedia Computer Science,Elsevier, 48,16.0
198,"An overview of machine learning, deep learning, and reinforcement learning-based techniques in quantitative finance: recent progress and challenges","SK Sahu, A Mokhade, ND Bokde ",2023 ,Applied Sciences,mdpi.com, 76,38.0
199,Fusion-based supply chain collaboration using machine learning techniques,"TM Ghazal, HM Alzoubi ",2022 ,… & Soft Computing,research.skylineuniversity.ac.ae, 256,85.0
200,Artificial intelligence and machine learning in cancer imaging,"DM Koh, N Papanikolaou, U Bick, R Illing… ",2022 ,Communications …,nature.com, 152,51.0
201,Machine learning applications for COVID-19 outbreak management,"A Heidari, N Jafari Navimipour, M Unal… ",2022 ,Neural Computing and …,Springer, 95,32.0
202,Torchdrug: A powerful and flexible machine learning platform for drug discovery,"Z Zhu, C Shi, Z Zhang, S Liu, M Xu, X Yuan… ",2022 ,arXiv preprint arXiv …,arxiv.org, 74,25.0
203,Machine learning and landslide studies: recent advances and applications,"FS Tehrani, M Calvello, Z Liu, L Zhang, S Lacasse ",2022 ,Natural Hazards,Springer, 125,42.0
204,[HTML][HTML] Machine learning and remote sensing integration for leveraging urban sustainability: A review and framework,"F Li, T Yigitcanlar, M Nepal, K Nguyen, F Dur ",2023 ,Sustainable Cities and …,Elsevier, 62,31.0
205,A comparative study of machine learning algorithms for detecting breast cancer,"RH Khan, J Miah, MM Rahman… ",2023 ,2023 IEEE 13th Annual …,ieeexplore.ieee.org, 38,19.0
206,A survey of privacy attacks in machine learning,"M Rigaki, S Garcia ",2023 ,ACM Computing Surveys,dl.acm.org, 267,134.0
207,Water quality assessment through predictive machine learning,"H Ghosh, MA Tusher, IS Rahat, S Khasim… ",2023 ,… on Intelligent Computing …,Springer, 62,31.0
208,Revolutionizing drug formulation development: the increasing impact of machine learning,"Z Bao, J Bufton, RJ Hickman, A Aspuru-Guzik… ",2023 ,Advanced Drug Delivery …,Elsevier, 22,11.0
209,"Mental health prediction using machine learning: taxonomy, applications, and challenges","J Chung, J Teo ",2022 ,Applied Computational Intelligence and Soft …,Wiley Online Library, 111,37.0
210,"A robust, agnostic molecular biosignature based on machine learning","HJ Cleaves, G Hystad, A Prabhu… ",2023 ,Proceedings of the …,National Acad Sciences, 13,6.0
211,Machine learning and deep learning based predictive quality in manufacturing: a systematic review,"H Tercan, T Meisen ",2022 ,Journal of Intelligent Manufacturing,Springer, 163,54.0
212,Towards applicability of machine learning techniques in agriculture and energy sector,"K Arumugam, Y Swathi, DT Sanchez, M Mustafa… ",2022 ,Materials Today …,Elsevier, 42,14.0
213,Applied machine learning as a driver for polymeric biomaterials design,"SM McDonald, EK Augustine, Q Lanners… ",2023 ,Nature …,nature.com, 33,16.0
214,A survey of machine learning approaches in animal behaviour,"N Kleanthous, AJ Hussain, W Khan, J Sneddon… ",2022 ,Neurocomputing,Elsevier, 40,13.0
215,Recent advances and application of machine learning in food flavor prediction and regulation,"H Ji, D Pu, W Yan, Q Zhang, M Zuo, Y Zhang ",2023 ,Trends in Food Science & …,Elsevier, 49,24.0
216,A dependable hybrid machine learning model for network intrusion detection,"MA Talukder, KF Hasan, MM Islam, MA Uddin… ",2023 ,Journal of Information …,Elsevier, 135,68.0
217,A comprehensive survey on poisoning attacks and countermeasures in machine learning,"Z Tian, L Cui, J Liang, S Yu ",2022 ,ACM Computing Surveys,dl.acm.org, 161,54.0
218,A review of feature selection methods for machine learning-based disease risk prediction,"N Pudjihartono, T Fadason, AW Kempa-Liehr… ",2022 ,Frontiers in …,frontiersin.org, 349,116.0
219,An introduction to machine learning for classification and prediction,"JE Black, JK Kueper, TS Williamson ",2023 ,Family practice,academic.oup.com, 34,17.0
220,"[HTML][HTML] A comparative analysis of K-nearest neighbor, genetic, support vector machine, decision tree, and long short term memory algorithms in machine learning","M Bansal, A Goyal, A Choudhary ",2022 ,Decision Analytics Journal,Elsevier, 354,118.0
221,Data drift in medical machine learning: implications and potential remedies,"B Sahiner, W Chen, RK Samala… ",2023 ,The British Journal of …,academic.oup.com, 51,26.0
222,[HTML][HTML] Systematic literature review: Quantum machine learning and its applications,"D Peral-García, J Cruz-Benito… ",2024 ,Computer Science …,Elsevier, 93,93.0
223,Modeling organizational performance with machine learning,"J Pap, C Mako, M Illessy, N Kis, A Mosavi ",2022 ,Journal of Open Innovation …,mdpi.com, 46,15.0
224,Machine learning in aerodynamic shape optimization,"J Li, X Du, JRRA Martins ",2022 ,Progress in Aerospace Sciences,Elsevier, 172,57.0
225,Machine learning for drilling applications: A review,"R Zhong, C Salehi, R Johnson Jr ",2022 ,Journal of Natural Gas Science and …,Elsevier, 45,15.0
226,Interpretable machine learning for knowledge generation in heterogeneous catalysis,"JA Esterhuizen, BR Goldsmith, S Linic ",2022 ,Nature catalysis,nature.com, 184,61.0
227,Comparative analysis for slope stability by using machine learning methods,"YA Nanehkaran, Z Licai, J Chengyong, J Chen… ",2023 ,Applied Sciences,mdpi.com, 48,24.0
228,A digital game based learning approach for effective curriculum transaction for teaching-learning of artificial intelligence and machine learning,A Alam ,2022 ,… Conference on Sustainable Computing and Data …,ieeexplore.ieee.org, 451,150.0
229,The role of machine learning techniques in internet of things-based cloud applications,"S Mishra, AK Tyagi ",2022 ,Artificial intelligence-based internet of things systems,Springer, 228,76.0
230,Interpretable and explainable machine learning for materials science and chemistry,"F Oviedo, JL Ferres, T Buonassisi… ",2022 ,Accounts of Materials …,ACS Publications, 122,41.0
231,A Review on Sustainable Energy Sources Using Machine Learning and Deep Learning Models,"A Bhansali, N Narasimhulu, R Pérez de Prado… ",2023 ,Energies,mdpi.com, 30,15.0
232,"Machine learning for high-entropy alloys: Progress, challenges and opportunities","X Liu, J Zhang, Z Pei ",2023 ,Progress in Materials Science,Elsevier, 132,66.0
233,How machine learning is solving the binary function similarity problem,"A Marcelli, M Graziano, X Ugarte-Pedrero… ",2022 ,31st USENIX Security …,usenix.org, 88,29.0
234,[HTML][HTML] Democratizing artificial intelligence: How no-code AI can leverage machine learning operations,"L Sundberg, J Holmström ",2023 ,Business Horizons,Elsevier, 60,30.0
235,Quantum machine learning: from physics to software engineering,"A Melnikov, M Kordzanganeh, A Alodjants… ",2023 ,Advances in Physics …,Taylor & Francis, 68,34.0
236,Application of machine learning in anaerobic digestion: Perspectives and challenges,"IA Cruz, W Chuenchart, F Long, KC Surendra… ",2022 ,Bioresource …,Elsevier, 151,50.0
237,A model for predicting cervical cancer using machine learning algorithms,"N Al Mudawi, A Alazeb ",2022 ,Sensors,mdpi.com, 73,24.0
238,Algorithmic fairness and bias mitigation for clinical machine learning with deep reinforcement learning,"J Yang, AAS Soltan, DW Eyre, DA Clifton ",2023 ,Nature Machine Intelligence,nature.com, 38,19.0
239,[HTML][HTML] Unsupervised machine learning in urban studies: A systematic review of applications,"J Wang, F Biljecki ",2022 ,Cities,Elsevier, 103,34.0
240,Application of machine learning to the monitoring and prediction of food safety: A review,"X Wang, Y Bouzembrak, AO Lansink… ",2022 ,… Reviews in Food …,Wiley Online Library, 92,31.0
241,Machine learning for multi-omics data integration in cancer,"Z Cai, RC Poulos, J Liu, Q Zhong ",2022 ,Iscience,cell.com, 116,39.0
242,Machine learning and artificial intelligence in pharmaceutical research and development: a review,"S Kolluri, J Lin, R Liu, Y Zhang, W Zhang ",2022 ,The AAPS journal,Springer, 160,53.0
243,Organic reaction mechanism classification using machine learning,"J Burés, I Larrosa ",2023 ,Nature,nature.com, 62,31.0
244,Reviewing machine learning of corrosion prediction in a data-oriented perspective,"LB Coelho, D Zhang, Y Van Ingelgem… ",2022 ,npj Materials …,nature.com, 104,35.0
245,A survey of machine learning in additive manufacturing technologies,J Jiang ,2023 ,International Journal of Computer Integrated …,Taylor & Francis, 39,20.0
246,Autoencoders and their applications in machine learning: a survey,"K Berahmand, F Daneshfar, ES Salehi, Y Li… ",2024 ,Artificial Intelligence …,Springer, 54,54.0
247,Building energy consumption prediction for residential buildings using deep learning and other machine learning techniques,"R Olu-Ajayi, H Alaka, I Sulaimon, F Sunmola… ",2022 ,Journal of Building …,Elsevier, 323,108.0
248,Scientific machine learning through physics–informed neural networks: Where we are and what's next,"S Cuomo, VS Di Cola, F Giampaolo, G Rozza… ",2022 ,Journal of Scientific …,Springer, 1137,379.0
249,Machine learning for hydrothermal treatment of biomass: A review,"W Zhang, Q Chen, J Chen, D Xu, H Zhan, H Peng… ",2023 ,Bioresource …,Elsevier, 64,32.0
250,Machine learning advances for time series forecasting,"RP Masini, MC Medeiros… ",2023 ,Journal of economic …,Wiley Online Library, 306,153.0
251,A review of machine learning in processing remote sensing data for mineral exploration,"H Shirmard, E Farahbakhsh, RD Müller… ",2022 ,Remote Sensing of …,Elsevier, 209,70.0
252,"Application of machine learning in thermal comfort studies: A review of methods, performance and challenges","ZQ Fard, ZS Zomorodian, SS Korsavi ",2022 ,Energy and Buildings,Elsevier, 126,42.0
253,In-processing modeling techniques for machine learning fairness: A survey,"M Wan, D Zha, N Liu, N Zou ",2023 ,ACM Transactions on Knowledge …,dl.acm.org, 110,55.0
254,"A review on machine learning, artificial intelligence, and smart technology in water treatment and monitoring","M Lowe, R Qin, X Mao ",2022 ,Water,mdpi.com, 160,53.0
255,Supervised machine learning: algorithms and applications,"SH Shetty, S Shetty, C Singh… ",2022 ,… and methods of machine …,Wiley Online Library, 56,19.0
256,Multi-omic machine learning predictor of breast cancer therapy response,"SJ Sammut, M Crispin-Ortuzar, SF Chin, E Provenzano… ",2022 ,Nature,nature.com, 320,107.0
257,[HTML][HTML] Diabetes mellitus prediction and diagnosis from a data preprocessing and machine learning perspective,"CC Olisah, L Smith, M Smith ",2022 ,Computer Methods and Programs in …,Elsevier, 128,43.0
258,Shifting machine learning for healthcare from development to deployment and from models to data,"A Zhang, L Xing, J Zou, JC Wu ",2022 ,Nature Biomedical Engineering,nature.com, 202,67.0
259,New opportunity: machine learning for polymer materials design and discovery,"P Xu, H Chen, M Li, W Lu ",2022 ,Advanced Theory and Simulations,Wiley Online Library, 67,22.0
260,Operating machine learning across natural language processing techniques for improvement of fabricated news model,"K Sharifani, M Amini, Y Akbari… ",2022 ,… Journal of Science …,papers.ssrn.com, 145,48.0
261,"Machine learning and deep learning based computational techniques in automatic agricultural diseases detection: Methodologies, applications, and challenges","JA Wani, S Sharma, M Muzamil, S Ahmed… ",2022 ,… methods in Engineering,Springer, 157,52.0
262,A machine learning approach for corrosion small datasets,"T Sutojo, S Rustad, M Akrom, A Syukur… ",2023 ,npj Materials …,nature.com, 52,26.0
